CropID,CropName,LU_Desc-working,LU Group,SVIHM_CODE,LandIQ Group,LandIQ ID,Cropscape Group,Cropscape ID
29123,MUSTARD,MUSTARD,Rotational 30-day,0,--,,,
29125,OAT,OAT,Grain Crops,0,G - GRAIN AND HAY CROPS,G - 3,"Grains, Hay, Seeds",28
29126,PEANUT,PEANUT,Legumes,0,--,,,
29127,PEAS,PEAS,Legumes,0,? same as above?,,,
29129,SAFFLOWER,SAFFLOWER,Seed oil,0,F - FIELD CROPS,F - 2,"Grains, Hay, Seeds",33
29131,SORGHUM/MILO,SORGHUM/MILO,Grain Crops,0,"? ""same as ""grain sorghum""? F - FIELD CROPS",,,
29133,SUNFLOWER,SUNFLOWER,Nursery-Outdoor,0,? same as above?,,,
29135,SUGARBEET,SUGARBEET,Root Vegetables,0,? same as above?,,,
29136,TOMATO,TOMATO,Tomato-Peppers,0,? same as above?,,,
29137,TURNIP,TURNIP,Root Vegetables,0,--,,Crops,247
29139,WHEAT,WHEAT,Grain Crops,0,G - GRAIN AND HAY CROPS,G - 2,"Durum - Grains, Hay, Seeds",22
29141,GRAPE,GRAPE,Vineyards,0,"? same as general category "" vineyards"" V - VINEYARDS",V,Crops,69
29143,GRAPE,GRAPE,Vineyards,0,? same as above,,,
29510,NURSERIES (ALL OR UNSPEC),NURSERIES (ALL OR UNSPEC),Nurseries-Outdoor,0,? combined with truck and berry crops?,,,
30000,FOREST,FOREST,Woodlands,0,NV - NATIVE VEGETATION,NV - 6,Non-Crop,63
30001,FOREST TREES (DECIDUOUS,FOREST TREES (DECIDUOUS,Woodlands,0,?,,NLCD-Derived Class,141
30005,CHRISTMAS TREE,CHRISTMAS TREE,Ag_Trees,0,"T - TRUCK, NURSERY AND BERRY CROPS",T - 16,Crops,70
30006,FOREST PLANTINGS,FOREST PLANTINGS,Ag_Trees,0,NV - NATIVE VEGETATION,NV - 6,Cropscape Group,
30009,FOREST TREES (DECIDUOUS),FOREST TREES (DECIDUOUS),Woodlands,0,? same as above,,,
30011,FOREST TREES (WESTERN HARDWOODS),FOREST TREES (WESTERN HARDWOODS),Woodlands,0,--,,,
31011,AFRICAN DAISY/GAZANIA/GAZANIA LONGISCARA,AFRICAN DAISY/GAZANIA/GAZANIA LONGISCARA,Nurseries-Outdoor,0,--,,,
