chem_code,chem_group,chem_name,chem_alias1,chem_alias2,chem_note
1853,Pesticides,ALKYL (67%C12; 25%C14; 7%C16; 1%C8;C10;C18) DIMETHYLBENZYL AMMONIUM CHLORIDE,,,
1854,Pesticides,ALKYL (68%C12; 32%C14) DIMETHYLETHYLBENZYL AMMONIUM CHLORIDE,,,
1855,Pesticides,GLYPHOSATE; ISOPROPYLAMINE SALT,,,
1856,Pesticides,FOSPIRATE,,,
1857,Pesticides,FENAMIPHOS,,,
1858,Pesticides,MUSCALURE,,,
1859,Pesticides,POTASSIUM PEROXYMONOSULFATE,,,
1860,Pesticides,POTASSIUM BISULFATE,,,
1861,Pesticides,DIMETHYLPOLYSILOXANE,DIMETHYL POLY SILOXANE,,"2003 change, synonymous"
1862,Pesticides,PHENOL; FERROUS SALT,,,
1863,Pesticides,DEHYDROABIETYLAMINE-ETHYLENE OXIDE CONDENSATE,,,
1864,Pesticides,ETHYLENE OXIDE CONDENSATE OF ABIETYLAMINE; TRIBUTYLTIN CHLORIDE,,,
1865,Pesticides,BIS(TRICHLOROMETHYL) SULFONE,,,
1866,Pesticides,LEVULINIC ACID; CHLORINATED,,,
1867,Pesticides,SULFATHIAZONE,,,
1868,Pesticides,ORYZALIN,,,
1870,Pesticides,SULFONATED CASTOR OIL,,,
1871,Pesticides,HEXAZINONE,,,
1872,Pesticides,UNDECYL BENZENE SULFONIC ACID; TRIETHANOLAMMONIUM SALT,,,
1873,Pesticides,SODIUM NAPHTHALENE SULFONATE,,,
1874,Pesticides,ALPHA-ALKYL-OMEGA-HYDROXYPOLY(OXYETHYLENE),ALPHA-ALKYL-OMEGA-HYDROXYPOLY (OXYETHYLENE) ETHANOL,,Shortname
1875,Pesticides,PIRIMICARB,,,
1876,Pesticides,FENBUTATIN-OXIDE,,,
1878,Pesticides,ALPHA-ALKYL (C12-C15)-OMEGA-HYDROXYPOLY(OXYETHYLENE),"ALPHA-ALKYL (C12-C15)-OMEGA-HYDROXYPOLY (OXYETHYLENE), (ETHYLENE",,Shortname
1879,Pesticides,ALPHA-(PARA-DODECYLPHENYL)-OMEGA-HYDROXYPOLY(OXYETHYLENE),"ALPHA-(P-DODECYLPHENYL)-OMEGA-HYDROXYPOLY (OXYETHYLENE), (ETHYLENE",,Shortname
1880,Pesticides,ETHYLENE GLYCOL; MONO-BUTYL ETHER,,,
1881,Pesticides,OCTHILINONE,,,
1882,Pesticides,SOYBEAN FATTY ACIDS; DIMETHYLAMINE SALT,,,
1883,Pesticides,POLY (OXYETHYLENE) ETHER,,,
1884,Pesticides,ALPHA-ALKYL (C9-C16)-OMEGA-HYDROXYPOLY(OXYETHYLENE),ALPHA-ALKYL(C9-C16)-OMEGA-HYDROXYPOLY(OXYETHYLENE),"ALPHA-ALKYL-OMEGA-HYDROXYPOLY (OXYETHYLENE) POLY (OXYETHYLENE),","2002 change, synonymous"
1885,Pesticides,ALPHA-(OMEGA-SEC-BUTYL PHENYLPOLY (OXYPROPYLENE))-OMEGA-HYDROXYPOLY,,,
1886,Pesticides,BIS(TRIBUTYLTIN)SULFIDE,,,
1887,Pesticides,OIL OF GERANIUM,,,
1888,Pesticides,OIL OF LAVENDER,,,
1889,Pesticides,AMYL ACETATE,,,
1890,Pesticides,MONOETHANOLAMINE DODECYL BENZENE SULFONATE,,,
1891,Pesticides,TRIBUTYLTIN CHLORIDE,,,
1892,Pesticides,BETA-BROMO-BETA-NITROSTYRENE,,,
1893,Pesticides,1;2-BENZISOTHIAZOLIN-3-ONE,,,
1895,Pesticides,PERFLUIDONE,,,
1896,Pesticides,PERFLUIDONE; DIETHANOLAMINE SALT,,,
1897,Pesticides,PROFLURALIN,,,
1898,Pesticides,3;3;4;4-TETRACHLORO TETRAHYDROTHIOPHENE 1;1-DIOXIDE,"3,3,4,4-TETRACHLORO TETRAHYDRO THIOPHENE 1,1-DIOXIDE",,Typo
1899,Pesticides,GASOLINE,,,
1900,Pesticides,ETHOFUMESATE,,,
1902,Pesticides,SILVEX; DIMETHYLAMINE SALT,,,
1903,Pesticides,ALKYL & DIALKYL (C8-C13) PHENOXYBENZENE DISULFONIC ACID; SODIUM SALT,"ALKYL & DIALKYL (C8-C13) PHENOXYBENZENE DISULFONIC ACID, SODIUM",,Shortname
1904,Pesticides,ENDOTHALL; DI (N;N-DIMETHYLALKYLAMINE) SALT,,,
1905,Pesticides,TRIFORINE,,,
1907,Pesticides,POLYAMINE POLYMER,,,
1908,Pesticides,CALCIUM SILICATE,,,
1909,Pesticides,ALKYL (90%C14; 5%C12; 5%C16) DIMETHYL DICHLOROBENZYL AMMONIUM CHLORIDE,,,
1910,Pesticides,OXAMYL,,,
1911,Pesticides,HEPTADECYL HYDROXYETHYL IMIDAZOLINIUM CHLORIDE,,,
1912,Pesticides,ALKYL (58%C14; 28%C16; 14%C12) DIMETHYLBENZYL AMMONIUM CHLORIDE,,,
1913,Pesticides,DYESTUFFS,,,
1914,Pesticides,DIMETHYL AND METHYL NAPTHALENE SULFONIC ACID; SODIUM SALT,,,
1915,Pesticides,HEXAHYDRO-1;3;5-TRIS-2-HYDROXYPROPYL-S-TRIAZINE,,,
1916,Pesticides,PYRIMINIL,,,
1917,Pesticides,SILICONE DEFOAMER,,,
1918,Pesticides,TETRAPOTASSIUM PYROPHOSPHATE,,,
1919,Pesticides,ALKYL DIMETHYL CUMENYL AMMONIUM CHLORIDE,,,
1920,Pesticides,LAURIC & MYRISTIC ACIDS; POTASSIUM SALTS,,,
1921,Pesticides,FOSAMINE; AMMONIUM SALT,,,
1922,Pesticides,2-((HYDROXYMETHYL)AMINO)-2-METHYL-1-PROPANOL,,,
1923,Pesticides,TETRAGLYCINE HYDROPERIODIDE,,,
1924,Pesticides,BENDIOCARB,,,
1925,Pesticides,LIGNIN SULFONIC ACID; COPPER SALT,,,
1926,Pesticides,LIGNIN SULFONIC ACID; MAGNESIUM SALT,,,
1927,Pesticides,EPICHLOROHYDRIN,,,
1928,Pesticides,PROSULFALIN,,,
1929,Pesticides,PENDIMETHALIN,,,
1930,Pesticides,DIFENZOQUAT METHYL SULFATE,,,
1931,Pesticides,OIL OF CITRUS,,,
1932,Pesticides,ALPHA-[PARA-(1;1;3;3-TETRAMETHYLBUTYL)PHENYL]-OMEGA-HYDROXYPOLY(OXYETHYLENE),"ALPHA-(P-(1,1,3,3-TETRAMETHYL BUTYL) PHENYL)-OMEGA-HYDROXY POLY (OXYETHYLENE) AVERAGE OF 9-10 MOLES OF ETHYLENE OXIDE",,Shortname
1933,Pesticides,THIOBENCARB,,,
1934,Pesticides,POTASSIUM DIMETHYL DITHIO CARBAMATE,,,
1935,Pesticides,PUTRESCENT WHOLE EGG SOLIDS,,,
1936,Pesticides,MORPHOLINE,,,
1937,Pesticides,2-ETHYLHEXYL SULFATE; SODIUM SALT,"2-ETHYLHEXYL SULFURIC ACID, SODIUM SALT",,"2004 change, synonymous"
1938,Pesticides,3-IODO-2-PROPYNYL BUTYL CARBAMATE,,,
1939,Pesticides,DEHYDROABIETYL AMMONIUM PHENOXIDE,,,
1940,Pesticides,N-(2-NITROBUTYL) MORPHOLINE,,,
1941,Pesticides,CRESYLIC ACID,,,
1943,Pesticides,1;1-(2-BUTENYLENE) BIS (3;5;7-TRIAZA-1-AZONIA ADAMANTANE CHLORIDE),,,
1944,Pesticides,BENTAZON; SODIUM SALT,,,
1945,Pesticides,DIMETHYL DICOCOALKYL AMMONIUM CHLORIDE,DIMETHYL DICOCO AMMONIUM CHLORIDE,,Shortname
1946,Pesticides,DIISOBUTYL KETONE,,,
1947,Pesticides,OCTYL DODECYL DIMETHYL AMMONIUM CHLORIDE,,,
1948,Pesticides,DODECYL PHENOXY BENZENE SULFONIC ACID; SODIUM SALT,,,
1949,Pesticides,KINOPRENE,,,
1950,Pesticides,ETHYLENE-ACRYLIC TERPOLYMER,,,
1951,Pesticides,N;N-DI (HYDROXY ETHYL) ALKYL AMINE; ALKYL DERIVED FROM SOYBEAN FATTY ACIDS,,,
1952,Pesticides,THIABENDAZOLE; HYPOPHOSPHITE SALT,,,
1953,Pesticides,BIFENOX,,,
1954,Pesticides,1-ALKYL (C6-C18) AMINO-3-AMINOPROPANE DIACETATE,,,
1955,Pesticides,MEFLUIDIDE; DIETHANOLAMINE SALT,,,
1956,Pesticides,ALKYL (60%C14; 25%C12; 15%C16) DIMETHYLBENZYL AMMONIUM CHLORIDE,,,
1957,Pesticides,N-(2-CYANOETHYL)-N-ALKYL (C6-C18)-1;3-DIAMINO PROPANE,,,
1959,Pesticides,ETHOXYLATED ALKYLPHENOL,,,
1960,Pesticides,ALKYL (61%C12;23%C14;11%C16;3%C10;2%C8) DIMETHYLBENZYL AMMONIUM CHLORIDE,"ALKYL (61%C12, 23%C14, 11%C16, 3%C10, 2%C8) DIMETHYLBENZYL",,Shortname
1961,Pesticides,OIL OF MINK,,,
1962,Pesticides,2;4-D; HEPTYLAMINE SALT,,,
1963,Pesticides,FENVALERATE,,,
1964,Pesticides,EDIFENPHOS,,,
1965,Pesticides,5-HYDROXY METHOXY METHYL-1-AZA-3;7-DIOXABICYCLO (3.3.0) OCTANE,,,
1966,Pesticides,5-HYDROXYMETHYL-1-AZA-3;7-DIOXABICYCLO (3.3.0) OCTANE,,,
1967,Pesticides,5-HYDROXYPOLY (METHYLENEOXY) (74%C2; 21%C3; 4%C4; 1%C5) METHYL-1-AZA-3;7-DIOXABICYCLO (3.3.0) OCTANE,,,
1968,Pesticides,HEXADECYL CYCLOPROPANE CARBOXYLATE,,,
1969,Pesticides,HYDROXYPROPYL METHYL CELLULOSE,,,
1970,Pesticides,ALKYL (47%C12; 18%C14; 10%C18; 10%C16; 15%C8-C10) DIMETHYLBENZYL AMMONIUM CHLORIDE,,,
1971,Pesticides,ALKYL (65%C12; 25%C14; 10%C16) DIMETHYLBENZYL AMMONIUM CHLORIDE,,,
1972,Pesticides,ALKYLAMINO-3-AMINOPROPANE HYDROXYACETATE; ALKYL DERIVED FROM COCONUT OIL FATTY ACIDS,,,
1973,Pesticides,OXYFLUORFEN,,,
1974,Pesticides,CARBENDAZIM PHOSPHATE,,,
1975,Pesticides,ALKYL (61%C12; 23%C14; 11%C16; 5%C18) DIMETHYL BENZYL AMMONIUM CHLORIDE,,,
1976,Pesticides,DRY MILK SOLIDS,,,
1977,Pesticides,ALKYL (90%C14; 5%C12; 5%C16) DIMETHYLBENZYL AMMONIUM CHLORIDE,,,
1980,Pesticides,FENARIMOL,,,
1981,Pesticides,LIGNIN SULFONIC ACID; CALCIUM SALT,,,
1982,Pesticides,TRIETHANOLAMINE SULFONATE,,,
1983,Pesticides,2-(2-ETHOXYETHOXY) ETHYL 2-BENZIMIDAZOLE CARBAMATE,,,
1984,Pesticides,AGROBACTERIUM RADIOBACTER,,,
1985,Pesticides,TRIBUTYLTIN MONOPROPYLENE GLYCOL MALEATE,,,
1986,Pesticides,N;N-BIS-(2-(OMEGA-HYDROXYPOLY(OXYETHYLENE) ETHYL) ALKYLAMINE; ALKYL DERIVED FROM COCONUT OIL FATTY ACIDS,,,
1987,Pesticides,VERNOLATE,,,
1988,Pesticides,2;4;5-T; DODECYLAMINE SALT,,,
1989,Pesticides,2;4;5-T; TETRADECYLAMINE SALT,,,
1990,Pesticides,BIS (TRIBUTYLTIN) ADIPATE,,,
1991,Pesticides,ALKYL (93%C14; 4%C12; 3%C16) DIMETHYLBENZYL AMMONIUM CHLORIDE,,,
1992,Pesticides,DIFLUBENZURON,,,
1993,Pesticides,PINE SOAP,,,
1994,Pesticides,SULFATED LINEAR ALCOHOL ETHOXYLATE; AMMONIUM SALT,,,
1995,Pesticides,DIETHATYL-ETHYL,,,
1996,Pesticides,METOLACHLOR,,,
1997,Pesticides,(Z;E)-7;11-HEXADECADIEN-1-YL ACETATE,,,
1998,Pesticides,(Z;Z)-7;11-HEXADECADIEN-1-YL ACETATE,,,
1999,Pesticides,2;4-D; OCTYL ESTER,,,
2000,Pesticides,N6-BENZYL ADENINE,,,
2001,Pesticides,ANTIMYCIN A,,,
2002,Pesticides,DODECYLAMINE LACTATE,,,
2003,Pesticides,DODECYLAMINE SALICYLATE,,,
2004,Pesticides,DIKEGULAC SODIUM,,,
2005,Pesticides,LINOLENIC ACID,,,
2006,Pesticides,SULPROFOS,,,
2007,Pesticides,BUTYRIC ANHYDRIDE,,,
2008,Pesticides,PERMETHRIN,,,
2009,Pesticides,POLYHEDRAL INCLUSION BODIES OF DOUGLAS FIR TUSSOCK MOTH NUCLEAR POLYHEDROSIS VIRUS,,,
2011,Pesticides,ALCOHOL SULFATES,,,
2012,Pesticides,FATTY ACID AND PHOSPHATIC,,,
2013,Pesticides,EDTA; MONOETHANOLAMINE SALT,,,
2014,Pesticides,ALKYL POLYOXY ETHYLENE ETHER; DIPHOSPHORIC ACID ESTER,,,
2015,Pesticides,ALKYL POLYOXY ETHYLENE ETHER; MONOPHOSPHORIC ACID ESTER,,,
2016,Pesticides,AMITRAZ,,,
2017,Pesticides,OXADIAZON,,,
2018,Pesticides,POLYOXYETHYLENE POLYMER,,,
2019,Pesticides,NORFLURAZON,,,
2020,Pesticides,3-ALKOXY (C12-C15)-2-HYDROXYPROPYL TRIMETHYL AMMONIUM CHLORIDE,,,
2021,Pesticides,N-POLYOXYETHYLATED-N-OCTADECYLAMINE,,,
2023,Pesticides,ALPHA-ALKYL (C8-C18)-OMEGA-HYDROXYPOLY(OXYETHYLENE) POLY(OXYPROPYLENE),OXYALKYLATED ALCOHOL,,Shortname
2024,Pesticides,ALPHA-[PARA-(1;1;3;3;-TETRAMETHYLBUTYL)PHENYL]-OMEGA-HYDROXYPOLY(OXYETHYLENE) PHOSPHATE ESTER,ALKYLARYL POLYOXYETHYLENE GLYCOL PHOSPHATE ESTER,,"2002 change, synonymous"
2025,Pesticides,POLYMERIZED GLYCERYL OLEATE,,,
2026,Pesticides,AZACOSTEROL,,,
2027,Pesticides,ALKYL (50%C12; 30%C14; 17%C16; 3%C18) DIMETHYL DICHLOROBENZYL AMMONIUM CHLORIDE,,,
2028,Pesticides,DIMETHYL SILICONE FLUID EMULSION,,,
2029,Pesticides,DAZOMET; SODIUM SALT,,,
2030,Pesticides,N-(ALPNA-(1-NITROETHYL)BENZYL)ETHYLENEDIAMINE; POTASSIUM SALT,,,
2031,Pesticides,ALKYL (C8-C18) BIS (2-HYDROXYETHYL) BENZYL AMMONIUM CHLORIDE,,,
2032,Pesticides,N-POLYETHYLENE POLYAMINE (18-MOLE)-N-OLEYLAMINE HYDROCHLORIDE,,,
2033,Pesticides,2-NITRO-1-BUTYL PHOSPHATE,,,
2034,Pesticides,DICLOFOP-METHYL,,,
2035,Pesticides,ALPHA-ALKYL (C6-C14)-OMEGA HYDROXYPOLY-(1-3 MOLES)-OXYPROPYLENE-(7-9 MOLES)-OXYETHYLENE)-ETHANOL PROPANOL,ALPHA-ALKYL (C6-C14)-OMEGA-HYDROXYPOLY(OXYETHYLENE) POLY(OXYPROPYLENE),,Shortname
2036,Pesticides,ALPHA-NONYLPHENYL-OMEGA-(9.5 MOLES E.O.) POLYOXYETHYLENE ETHANOL,ALPHA-NONYLPHENYL-OMEGA-(9.5 MOLES E.O.) POLYOXYETHYLENE ETHANOL,,Typo
2037,Pesticides,ALKYLARYL HYDROXYPOLY (OXYETHYLENE) ETHANOL,,,
2038,Pesticides,5-CHLORO-2-METHYL-4-ISOTHIAZOLIN-3-ONE,,,
2039,Pesticides,2-METHYL-4-ISOTHIAZOLIN-3-ONE,,,
2040,Pesticides,CONDENSATES OF ALKYL OXIDES,,,
2042,Pesticides,PROFENOFOS,,,
2043,Pesticides,POLYMERIZED PINENE,,,
2044,Pesticides,COCONUT OIL DIETHANOLAMINE SUPER AMINE,,,
2045,Pesticides,PETROLEUM OIL; PARAFFIN BASED,,,
2046,Pesticides,ALPHA-(PARA-NONYL PHENYL)-OMEGA-HYDROXYPOLY (OXYETHYLENE) SULFATE; AMMONIUM SALT,,,
2047,Pesticides,ALPHA-[PARA-(1;1;3;3-TETRAMETHYLBUTYL)PHENYL]-OMEGA-HYDROXYPOLY(OXYETHYLENE) WITH AVERAGE OF 7.5 MOLES OF ETHYLENE OXIDE,"A-(P-(1,1,3,3-TETRAMETHYL BUTYL) PHENYL)-OMEGA-HYDROXY POLY )OXYETHYLENE) WITH AVERAGE OF 7.5 MOLES OF ETHYLENE OXIDEOXIDE",,Shortname
2048,Pesticides,ALPHA-DODECYL-OMEGA-HYDROXYPOLY(OXYETHYLENE),ALKYL OXY POLYETHOXY ETHANOL,,"2002 change, synonymous"
2049,Pesticides,BRODIFACOUM,,,
2050,Pesticides,8-QUINOLINOL SULFATE,,,
2051,Pesticides,ALKYL POLYOXY ETHYLENE GLYCOLS,,,
2052,Pesticides,ALPHA-(PARA-NONYLPHENYL)-OMEGA-HYDROXYPOLY(OXYETHYLENE) WITH AN AVERAGE OF 9-10 MOLES OF ETHYLENE OXIDE,A-(P-NONYLPHENYL)-OMEGA-HYDROXYPOLY (OXYETHYLENE) WITH AN AVERAGEOF 9-10 MOLES OF ETHYLENE OXIDE,,Shortname
2053,Pesticides,CHLORINE DIOXIDE,,,
2055,Pesticides,2-CHLORO-SALICYLANILIDE,,,
2056,Pesticides,ENDOTHALL; MONO [N;N-DIMETHYL ALKYLAMINE] SALT,,,
2057,Pesticides,ALKYL (90%C14; 5%C12; 5%C16) DIMETHYL ETHYL AMMONIUM BROMIDE,,,
2058,Pesticides,OIL OF PEPPERMINT,,,
2059,Pesticides,TERT-BUTYLPHENOL; OXYETHYLATED ADDUCT,,,
2060,Pesticides,ALKYL (61%C12; 23%C14; 11%C16; 5%C8;C10;C18) DIMETHYLBENZYL AMMONIUM CHLORIDE,,,
2061,Pesticides,CETYLCIDE (95%C16; 3%C14; 2%C12),,,
2062,Pesticides,ETHYLENE DIAMINE ACETATE,,,
2063,Pesticides,ALKYL (29%C14; 29%C13; 21%C12; 21%C15) POLY(OXYPROPYLENE) POLY (OXYETHYLENE) - IODINE COMPLEX,,,
2064,Pesticides,SORBITAN FATTY ACID ESTERS,SORBITAN FATTY ACID ESTER,,Typo
2065,Pesticides,ALKYL (46%C12; 24%C14; 10%C16; 8%C10; 7%C8; 5%C18) AMINOBETAINE,,,
2066,Pesticides,A-(P-NONYLPHENYL)-OMEGA-HYDROXYPOLY (OXYETHYLENE) WITH AN AVERAGE OF 4.2 MOLES OF ETHYLENE OXIDE.THE NONLY GROUP IS A PROPYLENE TRIMER ISOMER.,"ALPHA-(PARA-NONYLPHENYL)-OMEGA-HYDROXYPOLY(OXYETHYLENE), BRANCHED",,Shortname
2067,Pesticides,ALCOHOLS; C4-C12; NORMAL,,,
2068,Pesticides,SODIUM DIOCTYLSULFOSUCCINATE,DICAPRYL SODIUM SULFOSUCCINATE,,"2003 change, synonymous"
2069,Pesticides,FATTY ACIDS; MIXED,,,
2070,Pesticides,N-DIALKYL (60%C14; 30%C16; 5%C12; 5%C18) METHYL BENZYL AMMONIUM CHLORIDE,,,
2071,Pesticides,KEROSENE,,,
2072,Pesticides,OIL OF BAY,,,
2073,Pesticides,NONYL PHENOXY HYDROXYPOLY (OXYETHYLENE),,,
2074,Pesticides,ACETOPHENONE,,,
2075,Pesticides,MEPIQUAT CHLORIDE,,,
2076,Pesticides,POLYACRYLIC ACID; SODIUM SALT,,,
2077,Pesticides,ALPHA-ALKYL (C10-C12)-OMEGA-HYDROXYPOLY (OXYETHYLENE),,,
2078,Pesticides,COTTONSEED FLOUR,,,
2079,Pesticides,2-CHLORO-N-(HYDROXYMETHYL)ACETAMIDE,,,
2080,Pesticides,1-BROMO-3-CHLORO-5;5-DIMETHYL HYDANTOIN,,,
2081,Pesticides,IPRODIONE,,,
2082,Pesticides,CYTOKININ,,,
2083,Pesticides,ALPHA-BUTYL-ALPHA-1H-IMIDAZOLE-PROPANENITRILE,,,
2084,Pesticides,IMAZALIL,,,
2085,Pesticides,MAGNESIUM PHOSPHIDE,,,
2087,Pesticides,CYCLOHEXANE,,,
2088,Pesticides,COCONUT OIL SOAP,,,
2089,Pesticides,SODIUM N-CYCLOHEXYL-N-PALMITOYL TAURATE - IODINE COMPLEX,,,
2090,Pesticides,BORIC OXIDE,,,
2091,Pesticides,TRIETHANOLAMINE OLEATE,,,
2092,Pesticides,DDE,,,
2093,Pesticides,PHENOTHRIN,,,
2094,Pesticides,PHENYLETHYL PROPIONATE,,,
2095,Pesticides,EUGENOL,,,
2096,Pesticides,(R;Z)-5-(1-DECENYL) DIHYDRO-2-(3H)-FURANONE,,,
2097,Pesticides,TRIBUTYLTIN ACETATE,,,
2099,Pesticides,POLYOXYETHYLENE LANOLIN,,,
2102,Pesticides,DENATURED ETHANOL,,,
2103,Pesticides,POLYETHYLENE GLYCOL 600 DISTEARATE,POLYETHYLENE GLYCOL DISTEARATE,,Shortname
2104,Pesticides,POLYOX WSR-301,,,
2106,Pesticides,PETROLEUM DISTILLATES; REFINED,,,
2107,Pesticides,PETROLEUM NAPHTHENIC OILS,,,
2108,Pesticides,CUPROUS THIOCYANATE,,,
2109,Pesticides,AMMONIUM ISOBUTYRATE,,,
2110,Pesticides,ISOBUTYRIC ACID,,,
2111,Pesticides,POLYACRYLAMIDE POLYMER,,,
2112,Pesticides,POLYSACCHARIDE POLYMER,,,
2113,Pesticides,4-(2-NITROBUTYL)MORPHOLINE,,,
2114,Pesticides,4;4-(2-ETHYL-2-NITROTRIMETHYLENE)DIMORPHOLINE,,,
2115,Pesticides,2-ETHYL HEXYL ACRYLATE,,,
2116,Pesticides,VINYL ACETATE,,,
2117,Pesticides,ETHYL ACRYLATE,,,
2118,Pesticides,ACRYLIC ACID,,,
2119,Pesticides,RESMETHRIN,,,
2120,Pesticides,DODEMORPH ACETATE,,,
2121,Pesticides,POLYETHYLENE GLYCOL ETHER OF LINEAR SECONDARY ALCOHOL - IODINE COMPLEX,,,
2122,Pesticides,PROPETAMPHOS,,,
2123,Pesticides,ALPHA-ALKYL (C12-C18)-OMEGA-HYDROXYPOLY(OXYETHYLENE) POLY(OXYPROPYLENE),ALKYL ALCOHOL (C12-C18) ETHOXYLATE PROPOXYLATE,ALKYL POLYOXY ALKYLENE ETHER,"2002 change, synonymous"
2124,Pesticides,COMPOUNDED SILICONE,,,
2125,Pesticides,METALLIC SILVER,,,
2126,Pesticides,(Z)-11-HEXADECENAL,,,
2127,Pesticides,3-(TRIMETHOXYSILYL) PROPYL DIMETHYL OCTADECYL AMMONIUM CHLORIDE,,,
2128,Pesticides,ZINC 2-PYRIDINETHIOL-1-OXIDE,,,
2129,Pesticides,VINCLOZOLIN,,,
2130,Pesticides,MALEIC HYDRAZIDE; POTASSIUM SALT,,,
2131,Pesticides,TRICLOPYR; TRIETHYLAMINE SALT,,,
2132,Pesticides,METALAXYL,,,
2133,Pesticides,TRIADIMEFON,,,
2135,Pesticides,BROMADIOLONE,,,
2136,Pesticides,ALKYL OXY-POLYOXYETHYLENE AND ALKYL PHENYLOXY-POLYOXYETHYLENE,,,
2137,Pesticides,NOSEMA LOCUSTAE SPORES,,,
2138,Pesticides,CYANURIC ACID,,,
2139,Pesticides,3;7-DIMETHYL-6-OCTEN-1-OL,,,
2140,Pesticides,3;7-DIMETHYL-6-OCTANOL,,,
2141,Pesticides,(E)-9-DODECENYL ACETATE,,,
2142,Pesticides,(Z)-9-DODECENYL ACETATE,,,
2143,Pesticides,CHLORSULFURON,,,
2144,Pesticides,SODIUM PYRITHIONE,,,
2145,Pesticides,ALUMINUM HYDROXIDE,,,
2146,Pesticides,JAGUAR,,,
2147,Pesticides,PROPAMOCARB,,,
2148,Pesticides,SODIUM CHLORITE,,,
2149,Pesticides,SULFOMETURON METHYL,,,
2150,Pesticides,DIIODOMETHYL P-TOLYL SULFONE,,,
2151,Pesticides,METHYL METHACRYLATE,,,
2152,Pesticides,ALKYL (95%C14; 3%C12; 2%C16) DIMETHYL BENZYL AMMONIUM CHLORIDE DIHYDRATE,,,
2153,Pesticides,N-(PHENYLMETHYL)-9-(TETRAHYDRO-2H-PYRAN-2-YL)-9H-PURIN-6-AMINE,,,
2154,Pesticides,ACID BLUE 9; DIAMMONIUM SALT,,,
2155,Pesticides,TARTRAZINE,ACID YELLOW 23,,Shortname
2156,Pesticides,4;4-DIMETHYL OXAZOLIDINE,,,
2157,Pesticides,3;4;4-TRIMETHYL OXAZOLIDINE,,,
2158,Pesticides,ALKYL POLYOXY ETHYLENE ETHERS; POLYMERIZED RESINS AND FATTY ACIDS,,,
2159,Pesticides,DIMETHIPIN,,,
2162,Pesticides,THIDIAZURON,,,
2163,Pesticides,BROMOXYNIL BUTYRATE,,,
2164,Pesticides,SODIUM PHENATE,,,
2165,Pesticides,2-METHYL-7(R);8(S)-EPOXY OCTADECANE,,,
2166,Pesticides,ETHALFLURALIN,,,
2167,Pesticides,POTASSIUM DICHROMATE,,,
2168,Pesticides,FLUCYTHRINATE,,,
2169,Pesticides,N-(2-METHYL-1-NAPHTHYL) MALEIMIDE,,,
2170,Pesticides,TRICLOPYR; BUTOXYETHYL ESTER,,,
2171,Pesticides,CYPERMETHRIN,,,
2172,Pesticides,OCTYLPHENOXY POLYETHOXY ETHANOL - IODINE COMPLEX,,,
2173,Pesticides,ALPHA-CHLOROHYDRIN,,,
2174,Pesticides,ALKYLARYL POLYALKOXYLATED ALCOHOLS,,,
2175,unknown,unknown,,,
2176,Pesticides,CARBENDAZIM,,,
2177,Pesticides,SETHOXYDIM,,,
2178,Pesticides,METHYL BENZETHONIUM CHLORIDE,,,
2179,Pesticides,TRIBUTYLTIN METHACRYLATE,,,
2182,Pesticides,CARBOSULFAN,,,
2183,Pesticides,BACILLUS POPILLIAE,,,
2184,Pesticides,CHLORAMBEN,,,
2185,Pesticides,TRI-N-BUTYLTIN MALEATE,,,
2186,Pesticides,FLUAZIFOP-BUTYL,,,
2187,Pesticides,PINENE,,,
2188,Pesticides,BETA-CARYOPHYLLENE,,,
2189,Pesticides,MYRCENE,,,
2190,Pesticides,Z-2-ISOPROPENYL-1-METHYL CYCLOBUTANE ETHANOL,,,
2191,Pesticides,Z-3;3-DIMETHYL-DELTA;BETA-CYCLOHEXANE ETHANOL,,,
2192,Pesticides,Z-3;3-DIMETHYL-DELTA;ALPHA-CYCLOHEXANE ETHANAL,,,
2193,Pesticides,E-3;3-DIMETHYL-DELTA;ALPHA-CYCLOHEXANE ETHANAL,,,
2194,Pesticides,ISOFENPHOS,,,
2195,Pesticides,TAU-FLUVALINATE,,,
2196,Pesticides,POLYACRYLIC POLYMER,,,
2197,Pesticides,ALPHA-2;4;6-TRIMETHYL-4-NONYLOXY-OMEGA-HYDROXYPOLY(OXYETHYLENE),"2,4,6-TRIMETHYL-4-NONYLOXY POLYETHYLENE OXYETHANOL",,"2002 change, synonymous"
2198,Pesticides,ALKYLARYL POLYETHYLENE GLYCOL ETHER,,,
2199,Pesticides,(E)-4-TRIDECEN-1-YL-ACETATE,,,
2200,Pesticides,(Z)-4-TRIDECEN-1-YL-ACETATE,,,
2201,Pesticides,BUTOXYCARBOXIM,,,
2202,Pesticides,THIODICARB,,,
2203,Pesticides,HYDRAMETHYLNON,,,
2204,Pesticides,ANHYDROUS ZIRCONIUM (IV) OXIDE,,,
2205,Pesticides,GLYCERYL P-AMINOBENZOATE,,,
2206,Pesticides,OIL OF RUE,,,
2207,Pesticides,CARBON DIOXIDE,,,
2208,Pesticides,METRONIDAZOLE,,,
2209,Pesticides,(Z)-9-TETRADECENAL,,,
2210,Pesticides,FOSETYL-AL,,,
2211,Pesticides,SULFISOXAZOLE,,,
2212,Pesticides,TRIPHENYLTIN FLUORIDE,,,
2213,Pesticides,GARLIC,,,
